identifiers[0].value,identifiers[1].value,"inputs[""Base""].components[0].identifiers[0].value","inputs[""Base""].components[0].amount.moles.value","inputs[""aryl halide""].components[0].identifiers[0].value","inputs[""aryl halide""].components[0].amount.moles.value","inputs[""amine""].components[0].identifiers[0].value","inputs[""amine""].components[0].amount.moles.value","inputs[""metal and ligand""].components[0].identifiers[0].value","inputs[""metal and ligand""].components[0].amount.moles.value","inputs[""metal and ligand""].components[1].identifiers[0].type","inputs[""metal and ligand""].components[1].identifiers[0].value","inputs[""metal and ligand""].components[1].amount.moles.value","inputs[""metal and ligand""].components[1].amount.moles.units","inputs[""metal and ligand""].components[1].reaction_role",conditions.temperature.setpoint.value,notes.procedure_details,outcomes[0].products[0].identifiers[0].value,outcomes[0].products[0].measurements[0].percentage.value,provenance.experiment_start.value,reaction_id,"inputs[""Solvent""].components[0].identifiers[0].type","inputs[""Solvent""].components[0].identifiers[0].value","inputs[""Solvent""].components[0].amount.volume.value","inputs[""Solvent""].components[0].amount.volume.units","inputs[""Solvent""].components[0].reaction_role","inputs[""Solvent""].components[0].is_limiting","inputs[""metal and ligand""].components[0].is_limiting","inputs[""metal and ligand""].components[1].is_limiting","inputs[""Base""].components[0].is_limiting"
276,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,CC(C)(C)[O-].[K+],2.7300000510876998e-05,CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,1.8200000340584666e-05,CC1=NN(C=N1)C2=CC=C(C=C2)N,1.8200000340584666e-05,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,1.819999965846364e-06,SMILES,CC(=O)O.CC(=O)O.[Pd],1.819999965846364e-06,MOLE,CATALYST,100.0,"A solution of (R)-8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (5.00 mg, 0.02 mmol) and 4-(3-methyl-1H-1,2,4-triazol-1-yl)aniline (3.17 mg, 0.02 mmol) in DME (0.5 mL) was added via a syringe to a capped microwave vial containing PALLADIUM(II) ACETATE (0.409 mg, 1.82 µmol), 2-(DICYCLOHEXYLPHOSPHINO)BIPHENYL (0.638 mg, 1.82 µmol) and KOtBu (3.06 mg, 0.03 mmol) under an argon atmosphere. The resulting mixture was heated to 100°C in a microwavwe apparatus for 1 h and analyzed by LCMS. No product.  ",CC1=NN(C=N1)C2=CC=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3,0.0,02/16/2010,ord-22e3f80de08948fdaf8c37b04b642dc6,SMILES,COCCOC,0.0005000000237487257,LITER,SOLVENT,False,False,False,False
277,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],2.7300000510876998e-05,CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,1.8200000340584666e-05,CC1=NN(C=N1)C2=CC=C(C=C2)N,1.8200000340584666e-05,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,1.819999965846364e-06,SMILES,CC(=O)O.CC(=O)O.[Pd],1.819999965846364e-06,MOLE,CATALYST,100.0,"A solution of (R)-8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (5.00 mg, 0.02 mmol) and 4-(3-methyl-1H-1,2,4-triazol-1-yl)aniline (3.17 mg, 0.02 mmol) in DME (.5 mL) was added via a syringe to a capped microwave vial containing PALLADIUM(II) ACETATE (0.409 mg, 1.82 µmol), XANTPHOS (1.053 mg, 1.82 µmol) and CESIUM CARBONATE (8.89 mg, 0.03 mmol) under an argon atmosphere. The resulting mixture was heated to 100°C in a microwavwe apparatus for 1 h and analyzed by LCMS. No product.  ",CC1=NN(C=N1)C2=CC=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3,0.0,02/16/2010,ord-221a1c88a71944db90ec733265031251,SMILES,COCCOC,0.0005000000237487257,LITER,SOLVENT,False,False,False,False
278,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],2.7300000510876998e-05,CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,1.8200000340584666e-05,CC1=NN(C=N1)C2=CC=C(C=C2)N,1.8200000340584666e-05,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,1.819999965846364e-06,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],9.09999982923182e-07,MOLE,CATALYST,100.0,"A solution of (R)-8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (5.00 mg, 0.02 mmol) and 4-(3-methyl-1H-1,2,4-triazol-1-yl)aniline (3.17 mg, 0.02 mmol) in DME (.5 mL) was added via a syringe to a capped microwave vial containing Pd2(dba)3 (0.833 mg, 0.91 µmol), 2-(DICYCLOHEXYLPHOSPHINO)BIPHENYL (0.638 mg, 1.82 µmol) and Cs2CO3 (8.89 mg, 0.03 mmol) under an argon atmosphere. The resulting mixture was heated to 100°C in a microwavwe apparatus for 1 h and analyzed by LCMS. No product.  ",CC1=NN(C=N1)C2=CC=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3,0.0,02/16/2010,ord-8f9b18030951427ab1e1a3e32247196d,SMILES,COCCOC,0.0005000000237487257,LITER,SOLVENT,False,False,False,False
279,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.004999999888241291,C1=CC2=C(C=C(O2)C(=O)N)C(=C1)Br,0.0024999999441206455,C1CNCCN1,0.012500000186264515,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.0002500000118743628,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.0001250000059371814,MOLE,CATALYST,70.0,"The crude product from EN03731-54-001, 4-bromobenzofuran-2-carboxamide (0.600 g, 2.5 mmol), was dissolved in THF (18 mL) and water (18.00 mL). To this mixture were added piperazine (1.077 g, 12.50 mmol), Cesium carbonate (1.629 g, 5.00 mmol), Tris(dibenzylideneacetone)dipalladium(0) (0.114 g, 0.13 mmol) and rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (0.156 g, 0.25 mmol) and the reaction was heated at 70 °C over night.  2010-04-13 No product was detected. The reaction mixture was filtered and solvents were removed in vacuo. The residue was partitioned between methylene chloride and water. The organic layer was washed with 1M HCl(aq), dired with sodium sulfate, filtered, concentrated and purified by flash chromatography(Isolute Si 70g, methylene chloride: methanol; 97:3). No product could be detected/isolated.  ",C1CN(CCN1)C2=C3C=C(OC3=CC=C2)C(=O)N,0.0,04/12/2010,ord-dc56e46e611f4db1889616d29baeeb5f,SMILES,C1CCOC1,0.035999998450279236,LITER,SOLVENT,False,False,False,False
280,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.00203999993391335,CC1=C(C(=CC=C1)Br)[N+](=O)[O-],0.0009260000078938901,CC(C)(C)OC(=O)N1CCNCC1,0.0009260000078938901,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0001849999971454963,SMILES,CC(=O)O.CC(=O)O.[Pd],9.259999933419749e-05,MOLE,CATALYST,80.0,"tert-butyl piperazine-1-carboxylate (172 mg, 0.93 mmol) and 1-bromo-3-methyl-2-nitrobenzene (0.124 mL, 0.93 mmol), were added to a stirred solution of diacetoxypalladium (20.78 mg, 0.09 mmol), (9,9-dimethyl-9H-xanthene-4,5-diyl)bis(diphenylphosphine) (107 mg, 0.19 mmol) and cesium carbonate (664 mg, 2.04 mmol) dissolved in dioxane (3 mL). The resulting solution was stirred at 80 °C under nitrogen overnight.  The reaction mixture was filtered, dried under vaccum.   The crude product was purified by flash chromatography on silica gel eluting with 5 to 15% ethyl acetate in petroleum ether. The solvent was evaporated to dryness to afford tert-butyl 4-(3-methyl-2-nitrophenyl)piperazine-1-carboxylate (50.0 mg, 16.81 %) as a orange oil.  ",CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)OC(C)(C)C)[N+](=O)[O-],16.809999465942383,05/29/2009,ord-100bcab4f1bd45d89d76662307487cf4,SMILES,C1COCCO1,0.003000000026077032,LITER,SOLVENT,False,False,False,False
281,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.004689999856054783,C1=CC(=C(C=C1Br)F)C=O,0.0032999999821186066,CC(C)(C)OC(=O)N,0.00395999988541007,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.0002640000020619482,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd],0.0001320000010309741,MOLE,CATALYST,100.0,"A solution of 4-bromo-2-fluorobenzaldehyde (0.670 g, 3.30 mmol) dissolved in toluene (10 mL) was treated with tert-butyl carbamate (0.464 g, 3.96 mmol), rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (0.164 g, 0.26 mmol), Bis(dibenzylideneacetone)palladium (0.076 g, 0.13 mmol) and cesium carbonate (1.527 g, 4.69 mmol) under nitrogen. The mixture was degassed under vacuum several times before heating at 100 °C for 24 hours. Reaction incomplete so heated for further 10 hours. The reaction mixture was diluted with water (250 mL), and extracted with ethyl acetate (250 mL X 2). The organic was dried over magnesium sulfate, filtered and evaporated to afford crude product. The crude product was purified by flash silica chromatography, elution 10% ethyl acetate in isohexane. Pure fractions were evaporated to dryness to afford tert-butyl 3-fluoro-4-formylphenylcarbamate (0.660 g, 84 %) as a yellow solid.  ",CC(C)(C)OC(=O)NC1=CC(=C(C=C1)C=O)F,83.58999633789062,04/20/2009,ord-41642501237541609124229452d981cb,SMILES,CC1=CC=CC=C1,0.009999999776482582,LITER,SOLVENT,False,False,False,False
282,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.02160000056028366,C1=CC(=C(C=C1Br)F)C=O,0.015200000256299973,CC(C)(C)OC(=O)N,0.018300000578165054,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.0012199999764561653,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd],0.0006089999806135893,MOLE,CATALYST,100.0,"A solution of 4-bromo-2-fluorobenzaldehyde (3.09 g, 15.22 mmol) dissolved in toluene (40 mL) was treated with tert-butyl carbamate (2.140 g, 18.27 mmol), rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (0.758 g, 1.22 mmol), Bis(dibenzylideneacetone)palladium (0.350 g, 0.61 mmol) and cesium carbonate (7.04 g, 21.62 mmol) under nitrogen. The mixture was degassed under vacuum several times before heating at 100 °C for 30 hours. The reaction mixture was diluted with water (250 mL), and extracted with ethyl acetate (250 mL X 2). The organic was dried over magnesium sulfate, filtered and evaporated to afford crude product. The crude product was purified by flash silica chromatography, elution 10% ethyl acetate in isohexane. Pure fractions were evaporated to dryness to afford tert-butyl 3-fluoro-4-formylphenylcarbamate (3.55 g, 97 %) as a yellow solid.  ",CC(C)(C)OC(=O)NC1=CC(=C(C=C1)C=O)F,97.47000122070312,04/24/2009,ord-122adeafa04f44969e42186d0dc6c6bd,SMILES,CC1=CC=CC=C1,0.03999999910593033,LITER,SOLVENT,False,False,False,False
283,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],0.003000000026077032,C1=CC=C(C=C1)I,0.0021800000686198473,CC(C)(C)OC(=O)NCCC1CCNCC1,0.001500000013038516,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.0001500000071246177,SMILES,CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd],0.0001500000071246177,MOLE,CATALYST,100.0,"To a solution of tert-butyl 2-(piperidin-4-yl)ethylcarbamate (0.342 g, 1.5 mmol) in anhydrous DME were added iodobenzene (0.444 g, 2.18 mmol), bis(tri-t- butylphosphine)palladium(0) (0.077 g, 0.15 mmol) and potassium phosphate (0.245 mL, 3.00 mmol). The reaction was heated to 100°C overnight. This reaction did not work.  ",CC(C)(C)OC(=O)NCCC1CCN(CC1)C2=CC=CC=C2,0.0,04/08/2009,ord-cc832050b1854993a53bbd02bde64312,SMILES,COCCOC,0.003000000026077032,LITER,SOLVENT,False,False,False,False
284,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.0067900000140070915,CN(C)C(=O)C1=CC2=C(O1)C(=CC=C2)Br,0.0048500001430511475,C1CN(CCN1)CC2=CC=CC=C2,0.006300000008195639,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C,0.00048499999684281647,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.00024199999461416155,MOLE,CATALYST,95.0,"The mixture of Tris(dibenzylideneacetone)dipalladium(0) (0.222 g, 0.24 mmol) and 2-Dicyclohexylphosphino-2',4',6'-tri-iso-propyl-1,1'-biphenyl (0.231 g, 0.48 mmol) in dioxane (10 mL) (degassed with argon for 5 min) was heated at 95 °C under argon for 5 min . This was transferred to a flask containing 7-bromo-N,N-dimethylbenzofuran-2-carboxamide (1.3 g, 4.85 mmol), 1-benzylpiperazine (1.111 g, 6.30 mmol) and Cesium carbonate (2.212 g, 6.79 mmol) in dioxane (10 mL) (degassed with argon for 5 min). The resulting mixture was heated at 95 °C over night. After cooling, the reaction mixture was filtered, the solid washed with DCM and concentrated. The product was purified by isco (DCM:MeOH; 0-3%). A small portion was also purified by prepLC giving EN02745-79-002.  ",CN(C)C(=O)C1=CC2=C(O1)C(=CC=C2)N3CCN(CC3)CC4=CC=CC=C4,52.150001525878906,06/26/2009,ord-f1c56ffe105843279dcf3ce82ed9a4b2,SMILES,C1COCCO1,0.009999999776482582,LITER,SOLVENT,False,False,False,False
285,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,CC(C)(C)[O-].[Na+],0.00019099999917671084,C1=CC=C(C=C1)Br,0.0009549999958835542,CC(C)(C)OC(=O)NCCC1CCNCC1,0.001500000013038516,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.00019099999917671084,SMILES,CC(=O)O.CC(=O)O.[Pd],9.549999958835542e-05,MOLE,CATALYST,50.0,"palladium(II) acetate (21.45 mg, 0.10 mmol) and (9,9-dimethyl-9H-xanthene-4,5-diyl)bis(diphenylphosphine) (111 mg, 0.19 mmol) were placed in a round-bottomed vessel that was filled with nitrogen. Toluene (0.8 mL) was added and the mixture was heated to 50°C for 30 min.  sodium tert-butoxide (138 mg, 1.43 mmol) was added to a second vessel and inerted with nitrogen. tert-butyl 2-(piperidin-4-yl)ethylcarbamate (342 mg, 1.5 mmol) and bromobenzene (150mg, 0.96 mmol) and toluene (1.4 mL) were added.  14/04 2009 13:57:24 +0200 The catalyst solution was added to the reagent mixture and the combined mixture was heated to reflux for several hours. The reaction did not work.  ",CC(C)(C)OC(=O)NCCC1CCN(CC1)C2=CC=CC=C2,0.0,04/09/2009,ord-59ade4a657944ddaa87cf04392b14d28,SMILES,CC1=CC=CC=C1,0.002199999988079071,LITER,SOLVENT,False,False,False,False
287,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,CC(C)(C)[O-].[Na+],0.0003549999964889139,C1=CC2=C(C(=C1)Br)OC=C2,0.00025400001322850585,C1CN(CCN1)CCC2=CC=CC=C2,0.00025400001322850585,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,1.0200000360782724e-05,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],5.079999937152024e-06,MOLE,CATALYST,110.0,"A dried Radley tube was charged with rac-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl (6.32 mg, 10.15 µmol), Tris(dibenzylideneacetone)dipalladium(0) (4.65 mg, 5.08 µmol) and Sodium tert- butoxide (34.1 mg, 0.36 mmol). Argon atmosphere was introduced and toluene (3ml) was added followed by 7-bromobenzofuran (50mg, 0.25 mmol) and 1-phenethylpiperazine (48.3 mg, 0.25 mmol). The reaction mixture was heated at reflux over night.  2010-03-25 The reaction mixture was filtered, concentrated and purified by flash chromatography (Isolute Si 10g, heptane: ethyl acetate; 4:1) to give 1-(benzofuran-7-yl)-4-phenethylpiperazine (48.3 mg, 62.1 %)  ",C1CN(CCN1CCC2=CC=CC=C2)C3=CC=CC4=C3OC=C4,62.119998931884766,03/24/2010,ord-8cfc6888cfb048a3bbd7a788345f4499,SMILES,CC1=CC=CC=C1,0.003000000026077032,LITER,SOLVENT,False,False,False,False
288,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.0009699999936856329,COC1=C(C=C(C=C1)Br)[N+](=O)[O-],0.0006459999713115394,C[C@@H]1CNC[C@@H](N1)C,0.0019399999873712659,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,9.049999789567664e-05,SMILES,CC(=O)O.CC(=O)O.[Pd],6.459999713115394e-05,MOLE,CATALYST,100.0,"To a solution of 4-bromo-1-methoxy-2-nitrobenzene (150 mg, 0.65 mmol) in dioxane (4 mL) was added (2R,6S)-2,6-dimethylpiperazine (221 mg, 1.94 mmol) followed by cesium carbonate (316 mg, 0.97 mmol), 2,2'-bis(diphenylphosphino)-1,1'-binaphthyl (56.4 mg, 0.09 mmol) and diacetoxypalladium (14.51 mg, 0.06 mmol). The resulting mixture was heated at 100 °C under argon over night (black). LCMS Ok. The solids were filtered through celite and washed with ethyl acetate. The ethyl acetate was evaporated under reduced pressure and the crude product was purified by flash- chromatograpy eluated with dichloromethane/ Methanol + 0.2% Et3N 100/0 =>90/10 over 20 min. The pure fractions was collected and concentrated to give (3R,5S)-1-(4-methoxy-3-nitrophenyl)-3,5-dimethylpiperazine (96 mg, 56.0 %) as red solid.  ",C[C@@H]1CN(C[C@@H](N1)C)C2=CC(=C(C=C2)OC)[N+](=O)[O-],55.970001220703125,05/05/2009,ord-fb5c3a40f09e4b5fab2cf5db4493aed4,SMILES,C1COCCO1,0.004000000189989805,LITER,SOLVENT,False,False,False,False
290,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.009700000286102295,COC1=C(C=C(C=C1)Br)[N+](=O)[O-],0.006459999829530716,C[C@@H]1CNC[C@@H](N1)C,0.01940000057220459,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,0.0009050000226125121,SMILES,CC(=O)O.CC(=O)O.[Pd],0.0006459999713115394,MOLE,CATALYST,100.0,"To a solution of 4-bromo-1-methoxy-2-nitrobenzene (1500 mg, 6.46 mmol) in dioxane (40 mL) was added (2R,6S)-2,6-dimethylpiperazine (2215 mg, 19.39 mmol) followed by cesium carbonate (3159 mg, 9.70 mmol), 2,2'-bis(diphenylphosphino)-1,1'-binaphthyl (564 mg, 0.91 mmol) and diacetoxypalladium (145 mg, 0.65 mmol). The resulting mixture was heated at 100 °C under argon over night (black). LCMS Ok. The solids were filtered through celite and washed with ethyl acetate. The ethyl acetate was evaporated under reduced pressure and the crude product was purified by flash- chromatograpy eluated with Dichloromethane/ 2 M NH3 in Methanol 100/0 =>80/20 over 20 min. The pure fractions was collected and concentrated to give (3R,5S)-1-(4-methoxy-3-nitrophenyl)-3,5-dimethylpiperazine (1540 mg, 90 %) as red solid.  ",C[C@@H]1CN(C[C@@H](N1)C)C2=CC(=C(C=C2)OC)[N+](=O)[O-],89.79000091552734,05/18/2009,ord-5dbc6ee86ad94d33b87d1fb77112c522,SMILES,C1COCCO1,0.03999999910593033,LITER,SOLVENT,False,False,False,False
291,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.005539999809116125,CNC(=O)C1=C(C=CC=C1OC)NC2=CC(=NC=C2C(F)(F)F)Cl,0.004610000178217888,CC1=NN(C(=C1)N)C,0.00471000000834465,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,0.0007379999733529985,SMILES,CC(=O)O.CC(=O)O.[Pd],0.00036899998667649925,MOLE,CATALYST,90.0,"_2-(2-chloro-5-(trifluoromethyl)pyridin-4-ylamino)-6-methoxy-N-methylbenzamide (1.66 g, 4.61 mmol)_ _,_ _1,3-dimethyl-1H-pyrazol-5-amine (0.523 g, 4.71 mmol)_ _,_ _diacetoxypalladium (0.083 g, 0.37 mmol)_ _,_ _(9,9-dimethyl-9H-xanthene-4,5-diyl)bis(diphenylphosphine) (0.427 g, 0.74 mmol)_ _and_ _cesium carbonate (1.804 g, 5.54 mmol)_ _were mixed together in_ _dioxane (30 mL)_ _. Reaction was degassed with argon and was stirred at_ _90 °C_ _for 3 hours under argon.The mixture was filtered ,the filtrate was concentrated and  purified by flash chromatography on silica gel 15-40µm eluting with __0_ _to_ _4_ _% methanol in CH2Cl2/AcOEt (60/40).The product obtained was not enough pure  so the product was repurified by flash chromatography on silica gel 15-40µm eluting with 0 to 4% methanol in CH2Cl2/AcOEt (60/40).The solvent was evaporated to dryness to afford _2-(2-(1,3-dimethyl-1H-pyrazol-5-ylamino)-5-(trifluoromethyl)pyridin-4-ylamino)-6-methoxy- N-methylbenzamide (0.882 g, 44.0 %) _as a  _beige __ solid _._  _EN 02814-27-01_  ",CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=C(C(=CC=C3)OC)C(=O)NC)C(F)(F)F)C,44.0,04/17/2009,ord-ffcc436f225c440ca5c8c1a40df255a3,SMILES,C1COCCO1,0.029999999329447746,LITER,SOLVENT,False,False,False,False
292,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.0017399999778717756,CC(C)OCC1CN(CC2=C(O1)N=C(C=C2)Cl)C,0.0005799999926239252,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,0.0005799999926239252,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,5.8000001445179805e-05,SMILES,CC(=O)O.CC(=O)O.[Pd],5.8000001445179805e-05,MOLE,CATALYST,100.0,"8-chloro-2-(isopropoxymethyl)-4-methyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (0.157 g, 0.58 mmol), 3-methoxy-4-(4-methyl-1H-imidazol-1-yl)aniline (0.118 g, 0.58 mmol), Palladium acetate (0.013 g, 0.06 mmol), 2-(Dicyclohexylphosphino)biphenyl (0.020 g, 0.06 mmol) and Cesium carbonate (0.567 g, 1.74 mmol) were placed in a microwave vial. The mixture was capped and flushed with argon. 1,2-dimethoxyethane (5 mL) was added and the mixture was run in a microwave for 60 minutes at 100°C. Very little product. Added 0.1 eq ligand and palladium acetate, flushed with argon and run in the microwave at 100°C for 60 min. Still have a lot of startingmaterial (oxazepine) left. Added 0.1 eq ligand and palladium acetate, flushed with argon and run in the microwave at 100°C for 60 min. The reaction mixture was filtrated through Celite and washed with dichloromethane. The filtrate was concentrated and the crude product was purified by preparative chromatography. The productcontaining fractions were pooled, concentrated and the residue was partitioned between sat. NaHCO3 (aq) and dichloromethane. The organic layer was separated by a Phase Separator and concentrated giving 2-(isopropoxymethyl)-N-(3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)-4-methyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepin-8-amine (0.013 g, 5.28 %).  ",CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)COC(C)C)C)C=C3)OC,5.28000020980835,10/02/2009,ord-b387923b7ccc41128cba74368ffb7dd0,SMILES,COCCOC,0.004999999888241291,LITER,SOLVENT,False,False,False,False
294,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C(=O)([O-])[O-].[Cs+].[Cs+],0.001970000099390745,CN1C[C@H](OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,0.0006549999816343188,CC1=NN(C=N1)C2=C(C=C(C=C2)N)OC,0.0006549999816343188,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,6.549999670824036e-05,SMILES,CC(=O)O.CC(=O)O.[Pd],6.549999670824036e-05,MOLE,CATALYST,100.0,"(R)-8-chloro-4-methyl-2-phenyl-2,3,4,5-tetrahydropyrido[3,2-f][1,4]oxazepine (180 mg, 0,66 mmol), 3-methoxy-4-(3-methyl-1H-1,2,4-triazol-1-yl)aniline (134 mg, 0,66 mmol), Palladium acetate (14,71 mg, 0,07 mmol), 2-(Dicyclohexylphosphino)biphenyl (22,96 mg, 0,07 mmol) and Cesium carbonate (640 mg, 1,97 mmol) were mixed in DME (3 mL) in a microwave vial. EtOH (0,3 mL) was added and the mixture was run for 1 hour at 100°C in a microwave reactor. the reaction had to be run for an additional 2 hours with more catalyst and ligand added. the mixture was filtered and purified using flash chromatography 0-10% MeOH in DCM.  ",CC1=NN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(C[C@H](O4)C5=CC=CC=C5)C)C=C3)OC,18.969999313354492,12/02/2009,ord-f1632d43480c447bab6a25aa93c74396,SMILES,CCO,0.003000000026077032,LITER,SOLVENT,False,False,False,False
